country,age,age_num,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact,lambda_xr
IT,38,38.0,3.5972759259739395,0.06537193687292628,0.06774297691721129,6.77429769172113,7.249679044511059,2.117538714254752,10.53245421331761,1.7875205552869672e-05,0.0181726223448448
IT,39,39.0,3.5972759259739395,0.14098610769156797,0.152343046288423,15.234304628842299,16.29320393970961,4.622835191519226,24.106191806827717,4.454844407577402e-05,0.0391924641291999
IT,40,40.0,3.5972759259739395,0.09101447927637928,0.09565620007493826,9.565620007493825,10.234876205420518,2.960348107113009,14.960583214378476,3.065409244770527e-05,0.0253009447007426
IT,41,41.0,3.5972759259739395,0.113271469555886,0.12052337154776718,12.052337154776717,12.893218721352163,3.6975194328229044,18.947633647577277,4.235251531986744e-05,0.0314881237599861
IT,42,42.0,3.5972759259739395,0.19792007529077826,0.22080901353923896,22.080901353923895,23.602408327517587,6.549688723152158,35.41593020246121,8.751592966871494e-05,0.0550194311928387
IT,43,43.0,3.5972759259739395,0.1053954762722261,0.111654762112025,11.165476211202499,11.945271370729182,3.436058077154547,17.521186011611057,4.96368612169053e-05,0.0292986911321491
IT,44,44.0,3.5972759259739395,0.13768799805443013,0.14850583215810728,14.85058321581073,15.88328906550105,4.512288964981748,23.4807688562932,7.111692838105098e-05,0.0382756288057475
IT,45,45.0,3.5972759259739395,0.15504256816753684,0.16885288748345015,16.885288748345012,18.05657259270752,5.095293085926222,26.80744531112451,9.341082893929094e-05,0.0430999932610285
IT,46,46.0,3.5972759259739395,0.14870566996429815,0.16137860193036938,16.137860193036936,17.258329280331154,4.882037268508177,25.5824703836224,0.00010068827077081421,0.0413384107931718
IT,47,47.0,3.5972759259739395,0.13302478650053282,0.14310388000344532,14.310388000344531,15.306173159412051,4.356186475080004,22.60185542361768,0.0001012220859695825,0.0369793113561388
IT,48,48.0,3.5972759259739395,0.09058605121208435,0.09518341242953499,9.518341242953499,10.184324231311503,2.946209716193926,14.885161526966373,7.641988528340611e-05,0.0251818467852334
IT,49,49.0,3.5972759259739395,0.07026782171056786,0.07301248271190745,7.301248271190745,7.813325397284698,2.2779202040522195,11.36452914299717,6.762606539454704e-05,0.0195336202050009
IT,50,50.0,3.5972759259739395,0.08404405021494153,0.08799135173046438,8.799135173046439,9.415280250542214,2.7305606474356647,13.739616540023004,9.255675590694713e-05,0.0233632481756837
IT,51,51.0,3.5972759259739395,0.05525011348879958,0.05693717483274082,5.693717483274082,6.093714544117157,1.786760686632749,8.83187081293313,6.745070733541503e-05,0.0153588756119232
IT,52,52.0,3.5972759259739395,0.030327554501735778,0.030831042809039134,3.083104280903913,3.3002585331673773,0.9768590908726615,4.7552821177758275,4.3207731908860655e-05,0.0084307000980262
IT,53,53.0,3.5972759259739395,0.02354738430315124,0.02385012774166258,2.385012774166258,2.5531091225312164,0.7576429633614934,3.6729138728400557,3.7474004883050026e-05,0.0065458932780576
IT,54,54.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,55,55.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,56,56.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,57,57.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,58,58.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,59,59.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,60,60.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,61,61.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,62,62.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,63,63.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,64,64.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,65,65.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,66,66.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,67,67.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,68,68.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,69,69.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,70,70.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,71,71.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,72,72.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,73,73.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,74,74.0,3.5972759259739395,0.002534622505675678,0.0025381021831467477,0.25381021831467476,0.27173368031845335,0.08127773849240238,0.3890169609274574,3.102443982439405e-05,0.0007045949651442
IT,75,75.0,3.5972759259739395,0.0013330370504008532,0.0013339991022933205,0.13339991022933204,0.14282129193889936,0.04273826626972621,0.20440785703783604,1.7862255087743533e-05,0.0003705684739877
IT,76,76.0,3.5972759259739395,0.01812484917072071,0.018303843575241282,1.8303843575241283,1.9594571076287037,0.5826643831147837,2.8153290491500726,0.00027306472199867536,0.0050384928884246
IT,77,77.0,3.5972759259739395,0.0279724037045105,0.02840034396475703,2.840034396475703,3.0401147243289683,0.9006584628397096,4.378037232765619,0.0004694777232663547,0.0077759961371151
IT,78,78.0,3.5972759259739395,0.03575792588628324,0.03645931918206826,3.6459319182068257,3.902588986744604,1.1527775100301563,5.6303160928765195,0.0006840278184710955,0.0099402788727145
IT,79,79.0,3.5972759259739395,0.04660240279764111,0.04779869897810376,4.779869897810376,5.115976119041643,1.505005085732325,7.399696834029035,0.0010303139491088563,0.012954914706751
IT,80,80.0,3.5972759259739395,0.03947663888186375,0.04033272182541741,4.033272182541741,4.317089098250904,1.2734230384009892,6.233751339361482,0.0009700484054168503,0.0109740369363453
IT,81,81.0,3.5972759259739395,0.05326361195694036,0.05483034200950872,5.483034200950872,5.868312630820283,1.7219683223633986,8.501199693415074,0.0015475766174174446,0.0148066517701223
