age,country,year,mx,age_num,log_mx,a_xr_initial,y_centered_initial,a_xr,b_x,k_t,log_mx_hat_baseline,mx_hat_baseline,baseline_residual
40,IT,2010,0.00083,40.0,-7.09408485717363,-7.173715019720412,0.07963016254678124,-7.173715019720412,0.020319399669134045,3.8062202731669594,-7.096374908761171,0.0008281014319214897,0.002290051587540809
41,IT,2010,0.00086,41.0,-7.05857816871672,-7.074037880487367,0.015459711770646756,-7.074037880487367,0.020495343107482796,3.8062202731669594,-6.996028090046154,0.0009155110810992164,-0.06255007867056683
42,IT,2010,0.00096,42.0,-6.9485772735023925,-6.96345930118426,0.014882027681867527,-6.96345930118426,0.020240987592618713,3.8062202731669594,-6.886417643860314,0.001021566910284261,-0.06215962964207833
43,IT,2010,0.00116,43.0,-6.759335273863864,-6.874320564860136,0.1149852909962723,-6.874320564860136,0.01964334143697972,3.8062202731669594,-6.7995536804499634,0.0011142723584167766,0.04021840658609932
44,IT,2010,0.00119,44.0,-6.733801971858699,-6.773294033705396,0.039492061846696735,-6.773294033705396,0.02027819283182161,3.8062202731669594,-6.696110765045727,0.0012357085298297823,-0.03769120681297178
45,IT,2010,0.00134,45.0,-6.615085665019317,-6.668785327590037,0.05369966257072001,-6.668785327590037,0.019317153767295814,3.8062202731669594,-6.595259985301071,0.001366831508413651,-0.019825679718245226
46,IT,2010,0.00148,46.0,-6.515713191206113,-6.563663036502831,0.047949845296717974,-6.563663036502831,0.018954085157196654,3.8062202731669594,-6.491519613318176,0.0015162431532185184,-0.024193577887936968
47,IT,2010,0.00164,47.0,-6.41305903714603,-6.4787021755842575,0.06564313843822767,-6.4787021755842575,0.01798657493397922,3.8062202731669594,-6.410241309425709,0.0016446275900439354,-0.0028177277203207396
48,IT,2010,0.00178,48.0,-6.331141914678144,-6.384418485536626,0.053276570858482586,-6.384418485536626,0.017220232470692053,3.8062202731669594,-6.3188744875980305,0.0018019705054621057,-0.01226742708011308
49,IT,2010,0.00205,49.0,-6.18991548583182,-6.2720432452744825,0.08212775944266237,-6.2720432452744825,0.016495468408212678,3.8062202731669594,-6.209257859003758,0.0020107291550173698,0.019342373171937766
50,IT,2010,0.00217,50.0,-6.133028111429769,-6.17507269333256,0.04204458190279148,-6.17507269333256,0.015773513858200243,3.8062202731669594,-6.115035225106398,0.0022093979417674467,-0.017992886323370705
51,IT,2010,0.00236,51.0,-6.049093659944618,-6.088573872844203,0.039480212899585254,-6.088573872844203,0.015010303509196268,3.8062202731669594,-6.031441351321112,0.0024020293141946416,-0.017652308623506308
52,IT,2010,0.00271,52.0,-5.910806644090528,-5.973943100096437,0.06313645600590956,-5.973943100096437,0.01375066533335655,3.8062202731669594,-5.921605038935081,0.002680893783010789,0.010798394844553805
53,IT,2010,0.00291,53.0,-5.839602197798736,-5.893241669593349,0.05363947179461359,-5.893241669593349,0.01295815778978835,3.8062202731669594,-5.843920066710961,0.0028974620894721905,0.004317868912225187
54,IT,2010,0.00331,54.0,-5.710807089593166,-5.789458492776727,0.07865140318356101,-5.789458492776727,0.012093797968350164,3.8062202731669594,-5.743426833770007,0.0032037706530921605,0.032619744176841436
55,IT,2010,0.00347,55.0,-5.663600685023369,-5.70713256976226,0.0435318847388908,-5.70713256976226,0.011123008713019614,3.8062202731669594,-5.664795948500152,0.003465854913464327,0.0011952634767826709
56,IT,2010,0.004,56.0,-5.521460917862246,-5.601670953837083,0.08021003597483656,-5.601670953837083,0.0097378469097369,3.8062202731669594,-5.564606563512246,0.0038310875383976446,0.04314564565000012
57,IT,2010,0.00414,57.0,-5.487059491144914,-5.507107058032324,0.02004756688740983,-5.507107058032324,0.009929976269879456,3.8062202731669594,-5.469311381041842,0.004214133091002333,-0.017748110103072534
58,IT,2010,0.00458,58.0,-5.386056280856043,-5.419994586056584,0.03393830520054042,-5.419994586056584,0.00935670774989911,3.8062202731669594,-5.384380895328819,0.004587679697145056,-0.001675385527224016
59,IT,2010,0.00501,59.0,-5.296319363885364,-5.324196182067058,0.027876818181693963,-5.324196182067058,0.008908196402758034,3.8062202731669594,-5.290289624321527,0.005040300254733141,-0.006029739563836678
60,IT,2010,0.00562,60.0,-5.181423615076537,-5.215864959071876,0.03444134399533905,-5.215864959071876,0.008778985536951035,3.8062202731669594,-5.182450206343294,0.005614233517497553,0.00102659126675686
61,IT,2010,0.00601,61.0,-5.114330530435021,-5.134373498820213,0.020042968385191706,-5.134373498820213,0.00800832928859658,3.8062202731669594,-5.103892033527759,0.006073063940153577,-0.01043849690726173
62,IT,2010,0.00665,62.0,-5.013138424314374,-5.0391959268163635,0.026057502501989127,-5.0391959268163635,0.007443410213112718,3.8062202731669594,-5.010864667961716,0.006665137682924758,-0.0022737563526584736
63,IT,2010,0.00741,63.0,-4.904924839674141,-4.945108750201136,0.04018391052699499,-4.945108750201136,0.007222264733534511,3.8062202731669594,-4.917619219754179,0.007316529175901437,0.012694380080037426
64,IT,2010,0.00821,64.0,-4.8024023555178,-4.857926103297212,0.055523747779411714,-4.857926103297212,0.007559181092484768,3.8062202731669594,-4.829154194974456,0.007993279163307757,0.026751839456656157
65,IT,2010,0.00887,65.0,-4.725080482660649,-4.762246394716038,0.03716591205538844,-4.762246394716038,0.007919647211399497,3.8062202731669594,-4.732102472943679,0.008807933117745971,0.007021990283029744
66,IT,2010,0.0101,66.0,-4.595219855134923,-4.663371166665295,0.06815131153037157,-4.663371166665295,0.007934399503536919,3.8062202731669594,-4.633171094419526,0.009723874834534888,0.03795123928460331
67,IT,2010,0.01069,67.0,-4.5384465539451835,-4.575834168481627,0.03738761453644379,-4.575834168481627,0.008404693358453006,3.8062202731669594,-4.543844054230932,0.010632456158098939,0.005397500285748258
